order,center_ypix
1,283
2,293
3,303
4,313
5,323
6,332
7,342
8,351
9,361
10,370
11,379
12,389
13,398
14,407
15,416
16,425
17,434
18,443
19,452
20,461
21,470
22,479
23,488
24,497
25,506
26,515
27,524
28,533
29,543
30,552
31,561
32,571
33,580
34,590
35,599
36,609
37,619
38,628
39,638
40,648
41,658
42,668
43,678
44,688
45,699
46,709
47,720
48,730
49,741
50,751
51,762
52,773
53,784
54,795
55,807
56,818
57,829
58,841
59,853
60,864
61,876
62,888
63,900
64,912
65,924
66,937
67,949
68,962
69,975
70,988
71,1001
72,1014
73,1027
74,1040
75,1054
76,1067
77,1081
78,1095
79,1109
80,1123
81,1137
82,1151
83,1166
84,1180
85,1195
86,1210
87,1225
88,1240
89,1255
90,1271
91,1286
92,1302
93,1318
94,1334
95,1350
96,1366
97,1382
98,1399
99,1416
100,1433
101,1450
102,1467
103,1484
104,1502
105,1519
106,1537
107,1555
108,1573
109,1592
110,1610
111,1629
